Entity ID,API/UWI,API/UWI List,Monthly Production Date,Monthly Oil,Monthly Gas,Monthly Water,Well Count,Days,Daily Avg Oil,Daily Avg Gas,Daily Avg Water,Reservoir,Well/Lease Name,Well Number,Operator Company Name,Production Type,Production Status,Entity Type
191117,42051800010000,420518000100,1958-08-01,0,4248,0,1,0,0.00,137.00,0.00,NAVARRO,M. BLACK FOSS,1,OAK OIL,GAS,INACTIVE,WELL
191117,42051800010000,420518000100,1958-09-01,0,3334,0,1,0,0.00,111.00,0.00,NAVARRO,M. BLACK FOSS,1,OAK OIL,GAS,INACTIVE,WELL
191117,42051800010000,420518000100,1958-10-01,0,3954,0,1,0,0.00,127.00,0.00,NAVARRO,M. BLACK FOSS,1,OAK OIL,GAS,INACTIVE,WELL
191117,42051800010000,420518000100,1958-11-01,0,3878,0,1,0,0.00,129.00,0.00,NAVARRO,M. BLACK FOSS,1,OAK OIL,GAS,INACTIVE,WELL
191117,42051800010000,420518000100,1958-12-01,0,3838,0,1,0,0.00,123.00,0.00,NAVARRO,M. BLACK FOSS,1,OAK OIL,GAS,INACTIVE,WELL
191117,42051800010000,420518000100,1959-01-01,0,528,0,1,0,0.00,17.00,0.00,NAVARRO,M. BLACK FOSS,1,OAK OIL,GAS,INACTIVE,WELL
191116,42051000210000,420510002100,1976-01-01,0,23517,0,1,0,0.00,758.00,0.00,NAVARRO,BLACK CATHY M.,1,DEVON ENERGY,GAS,INACTIVE,WELL
191116,42051000210000,420510002100,1976-02-01,0,18771,0,1,0,0.00,647.00,0.00,NAVARRO,BLACK CATHY M.,1,DEVON ENERGY,GAS,INACTIVE,WELL
200381,42051301050000,420513010500,1976-03-01,0,163,1,1,0,0.00,5.00,0.00,"NAVARRO, LOWER",WHITED UNIT,1,HOPE TRUST OPERATING AGENCY,GAS,INACTIVE,WELL
191116,42051000210000,420510002100,1976-03-01,0,19039,0,1,0,0.00,614.00,0.00,NAVARRO,BLACK CATHY M.,1,DEVON ENERGY,GAS,INACTIVE,WELL
200405,42051300850000,420513008500,1976-04-01,0,596,11,1,0,0.00,19.00,0.00,"11,600","MOORE, JESSE",1,DALECO RESOURCES,GAS,INACTIVE,WELL
191116,42051000210000,420510002100,1976-04-01,0,18181,0,1,0,0.00,606.00,0.00,NAVARRO,BLACK CATHY M.,1,DEVON ENERGY,GAS,INACTIVE,WELL
191116,42051000210000,420510002100,1976-05-01,0,16223,0,1,0,0.00,523.00,0.00,NAVARRO,BLACK CATHY M.,1,DEVON ENERGY,GAS,INACTIVE,WELL
191116,42051000210000,420510002100,1976-06-01,0,15578,0,1,0,0.00,519.00,0.00,NAVARRO,BLACK CATHY M.,1,DEVON ENERGY,GAS,INACTIVE,WELL
200492,42051301030000,420513010300,1976-07-01,0,6967,0,1,0,0.00,224.00,0.00,NAVARRO,"TWEDELL, HELEN",1,TOTAL MINATOME CORPORATION,GAS,INACTIVE,WELL
191116,42051000210000,420510002100,1976-07-01,0,12477,0,1,0,0.00,402.00,0.00,NAVARRO,BLACK CATHY M.,1,DEVON ENERGY,GAS,INACTIVE,WELL
